column,iqr_outliers,iqr_outlier_pct,mad_outliers,mad_outlier_pct
shortwave_radiation,8055,8.207829790702888,42390,43.19427744604536
cloud_cover,0,0.0,10876,11.082353420693309
wind_speed_10m,1878,1.9136318245735597,908,0.9252277405286433
relative_humidity_2m,436,0.44427235117895203,121,0.1232957671849844
load_mw,417,0.42491185881106197,38,0.03872098473578023
temperature_2m,348,0.35460270231714525,19,0.019360492367890114
hour,0,0.0,0,0.0
day_of_week,0,0.0,0,0.0
month,0,0.0,0,0.0
is_weekend,0,0.0,0,0.0
is_holiday,2112,2.152071572683364,0,0.0
